score,best_tile,step,time_cost
11128,1024,764,1614.8734419345856
13648,1024,972,1856.0268731117249
29488,2048,1913,3043.1582798957825
29936,2048,1766,2344.643611907959
6880,512,538,1245.3215861320496
55628,4096,2860,3489.3664331436157
34508,2048,1983,2697.0570969581604
15976,1024,1078,1813.910500049591
10660,1024,828,1616.631355047226
15372,1024,1073,1656.7777581214905
21824,2048,1310,1901.2289152145386
15420,1024,1016,1730.6976788043976
15168,1024,1008,1708.4215700626373
20248,2048,1140,1754.8220489025116
14892,1024,952,1632.6663119792938
54504,4096,2840,3361.5013179779053
12036,1024,816,1522.6588940620422
28596,2048,1754,2225.010639190674
14732,1024,1046,1791.3144700527191
22212,2048,1317,2003.061751127243
14028,1024,925,1607.653972864151
31960,2048,1868,2362.45441198349
25440,2048,1609,2325.5260620117188
34872,2048,2071,2702.6027569770813
15972,1024,1051,1737.6967298984528
31136,2048,1887,2533.089816093445
31324,2048,2071,2685.341556072235
5904,512,474,670.4792947769165
15452,1024,1080,1070.287665605545
35408,2048,2094,1672.871601819992
32584,2048,2009,1643.3877158164978
26312,2048,1550,1335.6455221176147
6716,512,543,702.191935300827
30800,2048,1847,1548.241357088089
33712,2048,2001,1698.288327217102
30672,2048,0,2180.317871570587
23080,2048,1454,1573.8643462657928
33488,2048,1938,1883.2046563625336
15552,1024,1062,1274.6303412914276
12400,1024,815,966.5571689605713
48656,4096,2476,2166.5084171295166
32412,2048,2072,1799.9143416881561
30952,2048,2068,1770.9545967578888
5104,512,432,643.4325354099274
15012,1024,1045,1213.9730842113495
58864,4096,3134,2662.0791552066803
23160,2048,1414,1557.5967531204224
13684,1024,963,1202.641648054123
16412,1024,1073,1167.5407929420471
11356,1024,785,1054.1495270729065
15260,1024,1051,1166.13192152977
24888,2048,1455,1543.9399693012238
15080,1024,1066,1165.264023065567
35900,2048,2130,1901.4438757896423
14596,1024,990,1184.0090589523315
15912,1024,1076,1231.070675611496
35064,2048,2116,1896.2560493946075
34696,2048,2042,1805.503295660019
26564,2048,1545,1647.890517950058
15224,1024,987,1054.8684902191162
24988,2048,1506,1415.6994025707245
15252,1024,1010,1164.9853506088257
25860,2048,1537,1491.467668056488
11112,1024,801,1056.1415338516235
28700,2048,1718,2398.874146938324
24464,2048,1499,2438.0206389427185
12168,1024,812,14257.849014997482
2456,256,222,1.4819579124450684
3596,256,313,1.9604239463806152
2728,256,252,216.0820209980011
