score,best_tile
688,64
1292,128
604,64
572,64
972,128
856,128
536,64
1168,128
556,64
632,64
936,128
700,64
472,64
516,64
2084,256
2652,256
1256,128
1228,128
1200,128
944,128
1992,256
676,64
904,64
108,16
1360,128
664,64
992,128
504,64
492,64
660,64
440,64
368,32
976,128
944,128
1148,128
1008,128
840,128
984,128
580,64
1256,128
1100,128
840,64
1172,128
1000,128
580,64
1100,128
736,64
2424,256
632,64
1036,128
948,128
212,32
504,64
316,32
1064,128
620,64
288,32
956,128
456,64
620,64
636,64
1124,128
1048,128
1264,128
564,64
1096,128
520,64
656,64
392,32
372,32
852,128
676,64
260,32
508,64
596,64
2228,256
564,64
1188,128
628,64
1168,128
1408,128
240,32
692,64
528,64
1936,256
544,64
1052,128
1204,128
808,64
532,64
412,64
992,128
780,64
1368,128
1496,128
1420,128
604,64
1396,128
540,64
316,32
1028,128
988,128
804,64
1212,128
524,64
516,64
1500,128
964,128
832,128
1196,128
1136,128
1000,64
628,64
568,64
756,64
504,64
972,128
1220,128
592,64
632,64
432,64
552,64
1972,256
180,16
1284,128
996,128
588,64
1316,128
696,64
608,64
248,32
1080,64
1244,128
620,64
540,64
1196,128
848,64
596,64
604,64
1252,128
2320,256
988,128
260,32
856,64
512,64
832,64
1012,128
856,64
1264,128
1200,128
1184,128
468,64
520,64
1152,128
1336,128
860,64
1076,128
1072,128
1328,128
508,64
720,64
588,64
1364,128
1100,128
572,64
996,128
536,64
816,64
852,64
548,64
484,64
1520,128
572,64
956,128
1012,128
560,64
1096,128
988,128
540,64
1044,128
272,32
648,64
1148,128
528,64
376,32
1204,128
964,128
1308,128
1032,128
280,32
396,32
388,32
1380,128
1476,128
1096,64
608,64
980,128
1200,128
540,64
480,64
812,64
720,128
844,64
776,64
628,64
524,64
556,64
1276,128
420,64
984,128
1212,128
976,128
604,64
540,64
324,32
676,64
476,64
560,64
1124,128
1072,128
1356,128
1292,128
448,64
412,64
952,128
480,64
888,128
456,32
1152,128
1220,128
684,64
1032,128
664,64
1204,128
696,64
1076,128
776,64
252,32
704,64
644,64
404,32
1352,128
664,64
804,64
1440,128
1360,128
1796,128
248,32
1064,128
1924,256
1176,128
468,64
2276,256
560,64
236,32
1252,128
144,16
936,128
1284,128
644,64
608,64
576,64
724,64
720,64
440,64
980,128
1176,128
1320,128
548,64
1312,128
828,64
416,32
220,32
528,64
660,64
572,64
500,64
552,64
632,64
1128,128
232,32
1068,128
1368,128
276,32
504,64
236,32
512,64
676,64
464,32
864,64
548,64
548,64
544,64
1140,128
848,64
796,64
632,64
516,64
172,16
612,64
1136,128
216,32
1256,128
968,128
604,64
564,64
548,64
840,128
580,64
360,32
688,64
528,64
636,64
1164,128
1128,128
196,32
284,32
540,64
1032,128
712,64
720,64
340,32
572,64
592,64
936,128
808,64
648,64
468,32
1012,128
1312,128
236,32
684,64
576,64
1240,128
468,64
364,32
1512,128
936,128
484,64
1356,128
520,64
288,32
708,64
1260,128
400,32
1124,128
552,64
1316,128
1292,128
544,64
652,64
1372,128
1068,128
376,32
440,64
1092,128
1468,128
392,32
1140,128
260,32
1052,128
536,64
340,32
1240,128
392,32
1176,128
612,64
976,64
1252,128
332,32
704,64
1156,128
400,32
440,32
652,64
540,64
492,64
524,64
556,64
572,64
732,64
576,64
352,32
724,64
312,32
924,64
1068,128
444,64
484,64
632,64
1332,128
340,32
2160,256
928,64
500,32
876,64
468,64
524,64
640,64
324,32
624,64
1324,128
232,32
388,64
1068,128
748,64
964,128
520,64
340,32
1216,128
660,64
1000,128
920,128
536,64
532,64
1316,128
324,32
644,64
424,64
1204,128
1192,128
1044,128
636,64
924,128
1316,128
724,64
304,32
476,64
832,64
512,64
456,64
628,64
576,64
2256,256
556,64
508,64
528,64
668,64
484,64
1020,128
564,64
1196,128
1016,128
852,64
332,32
636,64
552,64
644,64
596,64
456,64
904,128
332,32
456,64
464,64
1232,128
612,64
960,128
472,64
1276,128
1308,128
564,64
1148,128
812,128
820,64
1272,128
1008,128
1408,128
1456,128
540,64
588,64
704,64
1292,128
592,64
1184,128
856,64
664,64
584,64
1416,128
760,64
596,64
1336,128
1940,256
608,64
344,32
724,64
708,64
1756,128
772,64
684,64
272,32
552,64
496,64
200,32
1124,128
260,32
